doc_id,issue_date,title,source_url,pdf_url,pdf_file,status,text_chars
05_2019_Kariera_w_cyberbezpiecze_stwie,05/2019,Kariera w cyberbezpieczeństwie,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt0434f090c385924d/6047b3d8f9638443346d625c/201905-OUCH-May-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt0434f090c385924d/6047b3d8f9638443346d625c/201905-OUCH-May-Polish.pdf,pdfs/05_2019_201905-OUCH-May-Polish.pdf,ok,6189
04_2019_Tworzenie_hase_w_prostszy_spos_b,04/2019,Tworzenie haseł w prostszy sposób,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt930f1330c1e68833/6047b33bc7198e3af48f8617/201904-OUCH-April-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt930f1330c1e68833/6047b33bc7198e3af48f8617/201904-OUCH-April-Polish.pdf,pdfs/04_2019_201904-OUCH-April-Polish.pdf,ok,6236
03_2019_Utylizacja_urz_dzenia_mobilnego,03/2019,Utylizacja urządzenia mobilnego,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltaf0658c83909c5a7/6047b284fef76d094c702f50/201903-OUCH-March-Polish_0.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltaf0658c83909c5a7/6047b284fef76d094c702f50/201903-OUCH-March-Polish_0.pdf,pdfs/03_2019_201903-OUCH-March-Polish_0.pdf,ok,6201
02_2019_Spersonalizowane_oszustwa,02/2019,Spersonalizowane oszustwa,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltf02c8355723d094a/6047b17f5aedc043351b6f7d/201902-OUCH-February-Polish-FINAL.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltf02c8355723d094a/6047b17f5aedc043351b6f7d/201902-OUCH-February-Polish-FINAL.pdf,pdfs/02_2019_201902-OUCH-February-Polish-FINAL.pdf,ok,5888
01_2019_Odszukaj_siebie_w_sieci,01/2019,Odszukaj siebie w sieci,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt8c1b23e5d29c376c/6047a4c508636f3d7749c582/201901-OUCH-January-Polish_1.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt8c1b23e5d29c376c/6047a4c508636f3d7749c582/201901-OUCH-January-Polish_1.pdf,pdfs/01_2019_201901-OUCH-January-Polish_1.pdf,ok,5994
12_2018_Tak_jeste_celem_atak_w,12/2018,"Tak, jesteś celem ataków",https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blte8dc634dc0e90086/606f524f3107b22c3d586d22/201812-OUCH-December-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blte8dc634dc0e90086/606f524f3107b22c3d586d22/201812-OUCH-December-Polish.pdf,pdfs/12_2018_201812-OUCH-December-Polish.pdf,ok,5445
11_2018_Jestem_ofiar_hakera,11/2018,Jestem ofiarą hakera?,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt8e3389f63755a79b/606f51782c290626b4382fda/201811-OUCH-November-Polish_0.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt8e3389f63755a79b/606f51782c290626b4382fda/201811-OUCH-November-Polish_0.pdf,pdfs/11_2018_201811-OUCH-November-Polish_0.pdf,ok,6455
10_2018_Jak_unikn_b_d_w_korzystaj_c_z_poczty_e-mail,10/2018,"Jak uniknąć błędów, korzystając z poczty e-mail?",https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltc92a731f762ccc24/606f50cb4662f621951991dd/201810-OUCH-October-Polish_1.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltc92a731f762ccc24/606f50cb4662f621951991dd/201810-OUCH-October-Polish_1.pdf,pdfs/10_2018_201810-OUCH-October-Polish_1.pdf,ok,5612
09_2018_CEO_Fraud_czyli_jak_nie_sta_si_ofiar_oszustwa_na_wiadomo_od_prezesa,09/2018,"CEO Fraud, czyli jak nie stać się ofiarą oszustwa na wiadomość od prezesa",https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt679eec01904940db/606f3f05efddb74bd62b9260/201809-OUCH-September-Polish_0.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt679eec01904940db/606f3f05efddb74bd62b9260/201809-OUCH-September-Polish_0.pdf,pdfs/09_2018_201809-OUCH-September-Polish_0.pdf,ok,5976
08_2018_Inteligentne_urz_dzenia_w_Twoim_domu,08/2018,Inteligentne urządzenia w Twoim domu,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt9fd92d669e9470bf/606f3e5000cb9a28132ac520/201808-OUCH-August-Polish_0.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt9fd92d669e9470bf/606f3e5000cb9a28132ac520/201808-OUCH-August-Polish_0.pdf,pdfs/08_2018_201808-OUCH-August-Polish_0.pdf,ok,6238
07_2018_Oszustwa_Telefoniczne_oraz_Scam,07/2018,Oszustwa Telefoniczne oraz Scam,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt0629061c01618e94/606f3d32e5ac4c2c44b770e6/201807-OUCH-July-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt0629061c01618e94/606f3d32e5ac4c2c44b770e6/201807-OUCH-July-Polish.pdf,pdfs/07_2018_201807-OUCH-July-Polish.pdf,ok,6237
06_2018_Ochrona_przed_z_o_liwym_oprogramowaniem,06/2018,Ochrona przed złośliwym oprogramowaniem,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt1c55016ad6018a15/606f3ca4d8743426b393e803/201806-OUCH-June-Polish_0.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt1c55016ad6018a15/606f3ca4d8743426b393e803/201806-OUCH-June-Polish_0.pdf,pdfs/06_2018_201806-OUCH-June-Polish_0.pdf,ok,6666
05_2018_RODO_GDPR,05/2018,RODO (GDPR),https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt18e5487fd8a0b054/606f3b263d85432b0f81e39a/201805-OUCH-May-Polish_1.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt18e5487fd8a0b054/606f3b263d85432b0f81e39a/201805-OUCH-May-Polish_1.pdf,pdfs/05_2018_201805-OUCH-May-Polish_1.pdf,ok,5096
04_2018_Powstrzyma_phishing,04/2018,Powstrzymać phishing,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt0bee792b435be964/606f39db2c290626b4382f00/201804-OUCH-April-Polish_0.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt0bee792b435be964/606f39db2c290626b4382f00/201804-OUCH-April-Polish_0.pdf,pdfs/04_2018_201804-OUCH-April-Polish_0.pdf,ok,4890
03_2018_Bezpieczne_korzystanie_z_medi_w_spo_eczno_ciowych_wskaz_wki,03/2018,Bezpieczne korzystanie z mediów społecznościowych – wskazówki,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blte47c34c1c22d385a/606f37c46cf7e622c05a25d0/201803-OUCH-March-Polish_0.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blte47c34c1c22d385a/606f37c46cf7e622c05a25d0/201803-OUCH-March-Polish_0.pdf,pdfs/03_2018_201803-OUCH-March-Polish_0.pdf,ok,4689
02_2018_Zabezpieczanie_urz_dzenia_mobilnego,02/2018,Zabezpieczanie urządzenia mobilnego,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt6f253b4f13afd1be/606f370f5a02884cf97afc8e/201802-OUCH-February-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt6f253b4f13afd1be/606f370f5a02884cf97afc8e/201802-OUCH-February-Polish.pdf,pdfs/02_2018_201802-OUCH-February-Polish.pdf,ok,5295
01_2018_Cyberbezpieczny_Dom,01/2018,Cyberbezpieczny Dom,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt5b9bcb0068a2b79f/606f36641609c821964d9cb5/201801-OUCH-January-Polish_1.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt5b9bcb0068a2b79f/606f36641609c821964d9cb5/201801-OUCH-January-Polish_1.pdf,pdfs/01_2018_201801-OUCH-January-Polish_1.pdf,ok,8290
